"Type","BuyAmount","BuyCurrency","SellAmount","SellCurrency","FeeAmount","FeeCurrency","Exchange","ExchangeId","Group","Import","Comment","Date","NOKEquivalent","UpdatedAt"
"Deposit","9.87205129153362","MATIC","0","","0.000020251","MATIC","Matic Transaction","0xbcc89643b485dc8accd390830ffc2dd3750018dbc794fad767cca817099235aa-matic-transfer-42244052","","matic","","2021-05-29T09:17:15.000Z","kr 160,23","2022-01-16T13:12:36.884Z"
"Trade","9.9","AMWMATIC","9.9","MATIC","0.000222727","MATIC","aave","0xee04ecfc85da96d8eca15465f802ca58959b71f5397bb75bf7600fffdc31f33f","","matic","","2021-05-29T09:17:31.000Z","kr 160,69","2022-01-16T13:12:41.341Z"
"Trade","29.08684438478608","YVSTECRV","30.95","STECRV","0.00106","ETH","Yearn Finance","0x02131471a15c256634b3cf63ac8a05d13e68876fae251d2581de6dead165a1b7","","ETH","","2021-05-29T09:21:57.000Z","","2022-05-26T18:40:55.838Z"
"Withdrawal","0","","30.95","STECRV","0","","ETH Transaction","0x02131471a15c256634b3cf63ac8a05d13e68876fae251d2581de6dead165a1b7-transfer-881715833","","ETH","","2021-05-29T09:21:57.000Z","","2022-01-16T13:12:34.578Z"
"Deposit","29.08684438478608","YVSTECRV","0","","0.00106","ETH","ETH Transaction","0x02131471a15c256634b3cf63ac8a05d13e68876fae251d2581de6dead165a1b7-transfer-881715832","","ETH","","2021-05-29T09:21:57.000Z","","2022-01-16T13:12:34.906Z"
"Withdrawal","0","","1243.474676114896","AM3CRV-GAUGE","0","","Matic Transaction","0x69c3614bd3ad54d87032bc00e637e838714338e9162d0e689c602c61e653088e-transfer-43380465","","matic","","2021-05-29T22:42:27.000Z","","2022-01-16T13:12:37.681Z"
"Deposit","1243.474676114896","AM3CRV","0","","0","","Matic Transaction","0x69c3614bd3ad54d87032bc00e637e838714338e9162d0e689c602c61e653088e-transfer-43380464","","matic","","2021-05-29T22:42:27.000Z","","2022-01-16T13:12:38.299Z"
"Deposit","1.231958594980032","WMATIC","0","","0.000170204","MATIC","Matic Transaction","0x69c3614bd3ad54d87032bc00e637e838714338e9162d0e689c602c61e653088e-transfer-43380463","","matic","","2021-05-29T22:42:27.000Z","","2022-01-16T13:12:38.291Z"
"Withdrawal","0","","1240.806557545546","AM3CRV","0","","Matic Transaction","0xc8c5c7a2e8fdf655c1db7d9b020a58db61dfd8b1725417f00fa7b3ad457c7548-transfer-43380689","","matic","","2021-05-29T22:42:35.000Z","","2022-01-16T13:12:37.979Z"
"Deposit","420.86","USDT","0","","0","","Matic Transaction","0xc8c5c7a2e8fdf655c1db7d9b020a58db61dfd8b1725417f00fa7b3ad457c7548-transfer-43380683","","matic","","2021-05-29T22:42:35.000Z","kr 3 733,78","2022-01-16T13:12:37.185Z"
"Deposit","635.55","USDC","0","","0","","Matic Transaction","0xc8c5c7a2e8fdf655c1db7d9b020a58db61dfd8b1725417f00fa7b3ad457c7548-transfer-43380682","","matic","","2021-05-29T22:42:35.000Z","kr 5 666,75","2022-01-16T13:12:37.165Z"
"Deposit","197.27","DAI","0","","0.000832586","MATIC","Matic Transaction","0xc8c5c7a2e8fdf655c1db7d9b020a58db61dfd8b1725417f00fa7b3ad457c7548-transfer-43380681","","matic","","2021-05-29T22:42:35.000Z","kr 1 759,51","2022-01-16T13:12:37.165Z"
"Lost","0","","0","","0","","aave","0xfefd9f9053e3fd1153578c9a1d405abcdd0e2bc4fe4522528a30304a6fea845f-fee","","matic","","2021-05-29T22:42:53.000Z","","2022-01-16T13:12:41.993Z"
"Repay","198.4514247615555","USD","197.27","DAI","0.000275402","ETH","aave","0xfefd9f9053e3fd1153578c9a1d405abcdd0e2bc4fe4522528a30304a6fea845f","","matic","","2021-05-29T22:42:53.000Z","kr 1 759,51","2022-01-16T13:12:41.359Z"
"Lost","0","","0","","0","","aave","0xa2e3a508a8e9767f4846a8b0994f071a2bc65ab5f817f09ff7047bbf90a828b0-fee","","matic","","2021-05-29T22:43:19.000Z","","2022-01-16T13:12:42.193Z"
"Repay","639.1416769542082","USD","635.55","USDC","0.000283598","ETH","aave","0xa2e3a508a8e9767f4846a8b0994f071a2bc65ab5f817f09ff7047bbf90a828b0","","matic","","2021-05-29T22:43:19.000Z","kr 5 666,75","2022-01-16T13:12:41.362Z"
"Lost","0","","0","","0","","aave","0xdc3aadc91c1fe2834d0a5d80ac0158417d9386fcf572ed85fd402a100d753f08-fee","","matic","","2021-05-29T22:43:33.000Z","","2022-01-16T13:12:42.083Z"
"Repay","421.125455962308","USD","420.86","USDT","0.000275322","ETH","aave","0xdc3aadc91c1fe2834d0a5d80ac0158417d9386fcf572ed85fd402a100d753f08","","matic","","2021-05-29T22:43:33.000Z","kr 3 733,78","2022-01-16T13:12:41.422Z"
"Spend","0","USD","0","MATIC","0.000045893","MATIC","Matic Transaction","0x288032474a99cb1d43e6b69fb4eff96835ce96949099204fc2d2df7e89a4e0e2","","matic","","2021-06-01T17:22:38.000Z","","2022-01-16T13:12:37.365Z"
"Deposit","4.648666045082598","WMATIC","0","","0.000108718","MATIC","Matic Transaction","0x2470dd06fd85f5b7503d9beba55b1170ae9f213b1b9b1c78d31a9f029182d836-transfer-173525387","","matic","","2021-06-01T17:23:42.000Z","","2022-01-16T13:12:38.892Z"
"Income","3.128121525230169","WMATIC","0","USD","0.000219802","MATIC","aave","0x52cc847af554420d5a68e54ef86b5d51d1c0e9a225613565160aac6ffb770b2e-income-539553","","matic","","2021-06-01T17:24:10.000Z","","2022-01-16T13:12:43.600Z"
"Deposit","9.008746165292798","MATIC","0","","0.000020931","MATIC","Matic Transaction","0xcb185053d8eebd9337bbb76be8345ab5fee682bcadb4b4ba25c23b71490713a5-matic-transfer-50153552","","matic","","2021-06-01T17:25:06.000Z","kr 150,01","2022-01-16T13:12:37.365Z"
"Withdrawal","0","","4","MATIC","0.000230991","MATIC","Matic Transaction","0xc267e1a140a7d508bfd2aa9ae20063e64af3c2c6d57223476d045acdfabf3277","","matic","","2021-06-01T17:26:20.000Z","","2022-01-16T13:12:37.402Z"
"Deposit","7.180075","USDC","0","","0","","Matic Transaction","0xc267e1a140a7d508bfd2aa9ae20063e64af3c2c6d57223476d045acdfabf3277-transfer-50157103","","matic","","2021-06-01T17:26:20.000Z","kr 63,77","2022-01-16T13:12:37.365Z"
"Withdrawal","0","","4","MATIC","0.000233959","MATIC","Matic Transaction","0xe88740f4f47b8aae3ccfdedc7ee350f0d44929df2c028728ba2efd58f0f6d28f","","matic","","2021-06-01T17:26:48.000Z","","2022-01-16T13:12:37.565Z"
"Deposit","0.009702112850017907","QUICK","0","","0","","Matic Transaction","0xe88740f4f47b8aae3ccfdedc7ee350f0d44929df2c028728ba2efd58f0f6d28f-transfer-50154658","","matic","","2021-06-01T17:26:48.000Z","kr 68,90","2022-01-16T13:12:37.406Z"
"Spend","0","USD","0","MATIC","0.000058182","MATIC","Matic Transaction","0x3b3c82317547a5ab836b6ecbee46a4f4e34faeebc300b8993bb5745221084f8f","","matic","","2021-06-01T17:27:40.000Z","","2022-01-16T13:12:37.565Z"
"Withdrawal","0","","7.180075","USDC","0.000315983","MATIC","Matic Transaction","0x19f4f08964d10e5af1b69c9ba6381ee3e6808c794577d514b421daeb028cd0cc-transfer-50159800","","matic","","2021-06-01T17:27:48.000Z","","2022-01-16T13:12:37.565Z"
"Deposit","5.2452177673e-8","UNI-V2","0","","0","","Matic Transaction","0x19f4f08964d10e5af1b69c9ba6381ee3e6808c794577d514b421daeb028cd0cc-transfer-50159807","","matic","","2021-06-01T17:27:48.000Z","","2022-01-16T13:12:38.954Z"
"Spend","0","USD","0","MATIC","0.000046937","MATIC","Matic Transaction","0xa255684eb8dacce921969e23e464735c2e43614854d611b2d06219560da9ad51","","matic","","2021-06-01T17:28:08.000Z","","2022-01-16T13:12:37.583Z"
"Deposit","5.2194842919e-8","UNI-V2","0","","0.000522354","MATIC","Matic Transaction","0xbe9394c7cfab3095febea480e6210305c48a1985b7dfd841b08c6378cb8dc672-transfer-50154913","","matic","","2021-06-01T17:28:18.000Z","","2022-01-16T13:12:38.871Z"
"Withdrawal","0","","0.009702112850017907","QUICK","0","","Matic Transaction","0xbe9394c7cfab3095febea480e6210305c48a1985b7dfd841b08c6378cb8dc672-transfer-50154914","","matic","","2021-06-01T17:28:18.000Z","","2022-01-16T13:12:37.703Z"
"Airdrop","5","BUY POLYDOGE","0","USD","0","","Matic Transaction","0x6dc6b86e0c0c22b365dc589eb3aa117c1ed0aaa6e6e4873104526cc4f7c2f919-transfer-52965663","","matic","","2021-06-02T18:40:48.000Z","","2022-05-14T13:27:41.655Z"
"Income","3.749924888095572","WMATIC","0","USD","0.000249102","MATIC","aave","0x10eb6d6137e09d9cd546311bf1a7d197af32f6459b88a96fc5208139e293c7c8-income-570853","","matic","","2021-06-06T12:40:27.000Z","","2022-01-16T13:12:43.428Z"
"Deposit","7.265015657929744","WMATIC","0","","0.000108718","MATIC","Matic Transaction","0x21fd9d95cfb71016e7fd80dc17aa811e05f7b2af7c6386763d86febe8f135ae5-transfer-62912653","","matic","","2021-06-06T12:41:11.000Z","","2022-01-16T13:12:38.994Z"
"Deposit","11.01494054602532","MATIC","0","","0.000020263","MATIC","Matic Transaction","0x65ae4e7c17ef27a4eba69b1c776bd3926d35da454cde1520f4dd5e24acba1cd8-matic-transfer-62889523","","matic","","2021-06-06T12:46:06.000Z","kr 148,72","2022-01-16T13:12:37.765Z"
"Trade","12","AMWMATIC","12","MATIC","0.000268359","MATIC","aave","0x7d2d3f0a357893b987ae3ce84b2b75217de50463ee395553efbf079fd4d100e4","","matic","","2021-06-06T12:47:00.000Z","kr 162,02","2022-01-16T13:12:41.479Z"
"Spend","0","USD","0","ETH","0.000668064","ETH","ETH Transaction","0xd750c74c48e5088554d4e7328fbcc8c04b2562de063e3b657819b8466b9df1d7","","ETH","","2021-06-06T13:33:18.000Z","","2022-01-16T13:12:33.765Z"
"Income","0.2979879831970346","ALCX","223.5777280799105","USD","0.00085451","ETH","Alchemix","0x669c1e675e4556398298d829269be0375c2b3a5499d7db591bd127cc0e379871","","ETH","","2021-06-06T13:33:18.000Z","kr 1 982,28","2022-01-16T13:12:36.565Z"
"Spend","0","USD","0","ETH","0.000560424","ETH","ETH Transaction","0xf2f53f3d48da4a668ba9fed98b17b65a1b796318de13a91c3858a84faf2c3b57","","ETH","","2021-06-06T13:38:04.000Z","","2022-01-16T13:12:33.786Z"
"Withdrawal","0","","0.2979879831970346","ALCX","0.00098605","ETH","ETH Transaction","0x2fb1bb2a8dbaab186c09505e7ae30fd4ae46eacbb65939e0cc4ca33cea159c4a-transfer-893013962","","ETH","","2021-06-06T19:25:56.000Z","","2022-01-16T13:12:33.984Z"
"Spend","0","USD","0","ETH","0.00098605","ETH","ETH Transaction","0x2fb1bb2a8dbaab186c09505e7ae30fd4ae46eacbb65939e0cc4ca33cea159c4a","","ETH","","2021-06-06T19:25:56.000Z","","2022-05-26T18:40:55.838Z"
"Spend","0","USD","0","MATIC","0.000046122","MATIC","Matic Transaction","0xf5e4cdf85f1520412559dbcd1df10c7fd92019d95e9a8d39df22d7ce9242ef4f","","matic","","2021-06-08T14:20:37.000Z","","2022-01-16T13:12:37.784Z"
"Deposit","10.47541916288315","MATIC","0","","0","","Matic Transaction","0xff3111025cea05dd6318ea359cca6b1fde02660776a7d1645b2509e0aff0d0da-matic-transfer-175079054","","matic","","2021-06-08T14:20:49.000Z","kr 137,15","2022-01-16T13:12:37.865Z"
"Withdrawal","0","","1.04647020592e-7","UNI-V2","0.000588959","MATIC","Matic Transaction","0xff3111025cea05dd6318ea359cca6b1fde02660776a7d1645b2509e0aff0d0da-transfer-175079046","","matic","","2021-06-08T14:20:49.000Z","","2022-01-16T13:12:38.501Z"
"Withdrawal","0","","1","MATIC","0.000289074","MATIC","Matic Transaction","0x50af84f447f5c1a07174e3f6927e5e8ee84566d8acaddeef33596b449145dcc1","","matic","","2021-06-08T14:24:03.000Z","","2022-01-16T13:12:37.903Z"
"Deposit","1.335941","USDC","0","","0","","Matic Transaction","0x50af84f447f5c1a07174e3f6927e5e8ee84566d8acaddeef33596b449145dcc1-transfer-175055828","","matic","","2021-06-08T14:24:03.000Z","kr 11,84","2022-01-16T13:12:37.865Z"
"Airdrop","5","BUYSPACERAT","0","USD","0","","Matic Transaction","0x44140f12a9e1ebc3ed4fef88fe4bb7098e2afaf362683dd7ce8bb713fb549dfd-transfer-80864092","","matic","","2021-06-12T04:30:52.000Z","","2022-05-14T13:27:41.656Z"
"Spend","0","USD","0","MATIC","0.00024209","MATIC","Matic Transaction","0x4773129f75ac3f0948de9f56265239e4eae037ac0649d1dc88651cbcb46ce3ea","","matic","","2021-06-14T18:10:55.000Z","","2022-01-16T13:12:37.923Z"
"Deposit","19.66506229604888","WMATIC","0","","0.000366525970740437","MATIC","Matic Transaction","0x3565e6c5680f70a965303c8076d25ed313b940fada3080678d03f6d631b96028-transfer-146947913","","matic","","2021-06-18T20:17:43.000Z","","2022-01-16T13:12:39.213Z"
"Deposit","0.08583965157793357","CRV","0","","0","","Matic Transaction","0x3565e6c5680f70a965303c8076d25ed313b940fada3080678d03f6d631b96028-transfer-146947914","","matic","","2021-06-18T20:17:43.000Z","kr 1,60","2022-01-16T13:12:37.925Z"
"Income","9.904292854002552","WMATIC","0","USD","0.000262463913553656","MATIC","aave","0x859c0bb74ffb9a8e93fb4c99a863afd5846ba095748e89efe2bc572446a37000-income-671317","","matic","","2021-06-18T20:18:03.000Z","","2022-01-16T13:12:43.164Z"
"Deposit","29.56935515005143","MATIC","0","","0.000027478910270275","MATIC","Matic Transaction","0x0efb9034354e7734bc5d65547c1ca39eb8b720ba95471b41739171ca1defa698-matic-transfer-146939249","","matic","","2021-06-18T20:18:39.000Z","kr 395,60","2022-01-16T13:12:38.003Z"
"Trade","38","AMWMATIC","38","MATIC","0.000363689306908344","MATIC","aave","0xdff0d25746d9a3d376ca4ec7042ee11b444853ac85ac08984c2b5074a97b0990","","matic","","2021-06-18T20:19:47.000Z","kr 508,40","2022-01-16T13:12:41.500Z"
"Spend","0","USD","0","MATIC","0.00029091","MATIC","Matic Transaction","0x0cd128acbae40a3e5fc000a2e4e848cf850b002fecffafca34e3e2ca5ac7dbc9","","matic","","2021-06-20T21:55:39.000Z","","2022-01-16T13:12:38.065Z"
"Withdrawal","0","","1.335941","USDC","0.00113466558","MATIC","Matic Transaction","0x6a06e39404e9b427f26995c9d6de584effe2a4dd5fd4523502596b0be1bffcb4-transfer-159972784","","matic","","2021-06-20T21:56:09.000Z","","2022-01-16T13:12:38.084Z"
"Deposit","0.9519676739794345","MATIC","0","","0","","Matic Transaction","0x6a06e39404e9b427f26995c9d6de584effe2a4dd5fd4523502596b0be1bffcb4-matic-transfer-159972788","","matic","","2021-06-20T21:56:09.000Z","kr 11,48","2022-01-16T13:12:38.084Z"
"Deposit","2.0380957829e-8","UNI-V2","0","","0","","Matic Transaction","0x954b4e261ef3ebe51dc9bc78cb89e948bae723c47c84f89a9b8d2900ca75aeee-transfer-160013335","","matic","","2021-06-20T21:58:07.000Z","","2022-01-16T13:12:39.080Z"
"Withdrawal","0","","1.9","MATIC","0.00251952294","MATIC","Matic Transaction","0x954b4e261ef3ebe51dc9bc78cb89e948bae723c47c84f89a9b8d2900ca75aeee","","matic","","2021-06-20T21:58:07.000Z","","2022-01-16T13:12:38.121Z"
"Deposit","3.800873057787337","WMATIC","0","","0.001278808911207582","MATIC","Matic Transaction","0x828a6537958a4980d89da2f19a266e1f4219c1adece774ab059530e829c3196f-transfer-196540830","","matic","","2021-06-21T23:01:14.000Z","","2022-01-16T13:12:39.349Z"
"Deposit","0.1434525387243108","CRV","0","","0","","Matic Transaction","0x828a6537958a4980d89da2f19a266e1f4219c1adece774ab059530e829c3196f-transfer-196540831","","matic","","2021-06-21T23:01:14.000Z","kr 2,45","2022-01-16T13:12:38.141Z"
"Deposit","1637.874098010565","AM3CRV","0","","0","","Matic Transaction","0x828a6537958a4980d89da2f19a266e1f4219c1adece774ab059530e829c3196f-transfer-196540832","","matic","","2021-06-21T23:01:14.000Z","","2022-01-16T13:12:39.158Z"
"Withdrawal","0","","1637.874098010565","AM3CRV-GAUGE","0","","Matic Transaction","0x828a6537958a4980d89da2f19a266e1f4219c1adece774ab059530e829c3196f-transfer-196540833","","matic","","2021-06-21T23:01:14.000Z","","2022-01-16T13:12:38.965Z"
"Deposit","874.714434","USDC","0","","0","","Matic Transaction","0x60dae3a98bf14956483be15f59c26468f389bbc25b543a9430862e805e3481eb-transfer-196546806","","matic","","2021-06-21T23:02:18.000Z","kr 7 803,49","2022-01-16T13:12:38.265Z"
"Deposit","551.197276","USDT","0","","0","","Matic Transaction","0x60dae3a98bf14956483be15f59c26468f389bbc25b543a9430862e805e3481eb-transfer-196546807","","matic","","2021-06-21T23:02:18.000Z","kr 4 892,86","2022-01-16T13:12:38.289Z"
"Deposit","233.1246795318131","DAI","0","","0","","Matic Transaction","0x60dae3a98bf14956483be15f59c26468f389bbc25b543a9430862e805e3481eb-transfer-196546805","","matic","","2021-06-21T23:02:18.000Z","kr 2 071,64","2022-01-16T13:12:38.459Z"
"Withdrawal","0","","1637.874098010565","AM3CRV","0.004634963064752368","MATIC","Matic Transaction","0x60dae3a98bf14956483be15f59c26468f389bbc25b543a9430862e805e3481eb-transfer-196546802","","matic","","2021-06-21T23:02:18.000Z","","2022-01-16T13:12:38.865Z"
"Lost","0","","0","","0","","aave","0x57158b5b9397bbc3c65945bca5e6c28bb80540801f4bc7b51de6b0fdf0f25e3c-fee","","matic","","2021-06-21T23:02:54.000Z","","2022-01-16T13:12:41.903Z"
"Repay","233.6563842287398","USD","233.1246795318131","DAI","0.0028412892","ETH","aave","0x57158b5b9397bbc3c65945bca5e6c28bb80540801f4bc7b51de6b0fdf0f25e3c","","matic","","2021-06-21T23:02:54.000Z","kr 2 071,64","2022-01-16T13:12:41.502Z"
"Lost","0","","0","","0","","aave","0x3c9d68a617319136b165908dd186aa207b18bcfb6944fd4ae483673b699f45ed-fee","","matic","","2021-06-21T23:03:22.000Z","","2022-01-16T13:12:42.113Z"
"Repay","858.180936281552","USD","852.890365","USDC","0.003457568304561248","ETH","aave","0x3c9d68a617319136b165908dd186aa207b18bcfb6944fd4ae483673b699f45ed","","matic","","2021-06-21T23:03:22.000Z","kr 7 608,80","2022-01-16T13:12:41.616Z"
"Repay","551.8561577183694","USD","551.197276","USDT","0.003392242362550644","ETH","aave","0x893cb3e509e1df694bf2f38af64ade5f618aba9c66dfdf2b2415602c1220da88","","matic","","2021-06-21T23:03:44.000Z","kr 4 892,86","2022-01-16T13:12:41.593Z"
"Lost","0","","0","","0","","aave","0x893cb3e509e1df694bf2f38af64ade5f618aba9c66dfdf2b2415602c1220da88-fee","","matic","","2021-06-21T23:03:44.000Z","","2022-01-16T13:12:41.979Z"
"Airdrop","1000","LITCOIN","0","USD","0","","Matic Transaction","0xb60b5ec4006baf8371fd50830a0aab90bd8799e75983358fcc8f469bc0256547-transfer-258605731","","matic","","2021-06-27T04:43:31.000Z","","2022-05-14T13:27:41.656Z"
"Airdrop","9000","LITCOIN","0","USD","0","","Matic Transaction","0x23ca6a865e0dd7609c7588b5072f182c6575db15094c7b2a30f38438f6769a34-transfer-227720631","","matic","","2021-07-04T21:30:28.000Z","","2022-05-14T13:27:41.656Z"
"Spend","0","USD","0","MATIC","0.000368496","MATIC","Matic Transaction","0xe58f1b7a8a02020af6da8993a13adb1dce03d8ac58282df7e83675f9cde083b6","","matic","","2021-07-06T19:02:26.000Z","","2022-01-16T13:12:38.324Z"
"Withdrawal","0","","1.0190478915e-8","UNI-V2","0.003052415","MATIC","Matic Transaction","0xa09aaca7e1cb58de6477c47925c3487ab3be21dda13acd0cb961fa61cb8d2036-transfer-234685221","","matic","","2021-07-06T19:02:42.000Z","","2022-01-16T13:12:38.692Z"
"Deposit","1.217508579552001","MATIC","0","","0","","Matic Transaction","0xa09aaca7e1cb58de6477c47925c3487ab3be21dda13acd0cb961fa61cb8d2036-matic-transfer-234685231","","matic","","2021-07-06T19:02:42.000Z","kr 11,93","2022-01-16T13:12:38.383Z"
"Withdrawal","0","","3322.712625876343","AM3CRV-GAUGE","0","","Matic Transaction","0x8a84833202df3d8656a37e2f3651e5624e1e19f8146921262e722108e75fc1e8-transfer-234688126","","matic","","2021-07-06T19:03:58.000Z","","2022-01-16T13:12:38.929Z"
"Deposit","0.06455127571091832","CRV","0","","0","","Matic Transaction","0x8a84833202df3d8656a37e2f3651e5624e1e19f8146921262e722108e75fc1e8-transfer-234688124","","matic","","2021-07-06T19:03:58.000Z","kr 1,04","2022-01-16T13:12:38.409Z"
"Deposit","0.1592036054112199","WMATIC","0","","0.000116738","MATIC","Matic Transaction","0x8a84833202df3d8656a37e2f3651e5624e1e19f8146921262e722108e75fc1e8-transfer-234688123","","matic","","2021-07-06T19:03:58.000Z","","2022-01-16T13:12:39.382Z"
"Deposit","3322.712625876343","AM3CRV","0","","0","","Matic Transaction","0x8a84833202df3d8656a37e2f3651e5624e1e19f8146921262e722108e75fc1e8-transfer-234688125","","matic","","2021-07-06T19:03:58.000Z","","2022-01-16T13:12:39.206Z"
"Spend","0","USD","0","MATIC","0.000046208","MATIC","Matic Transaction","0x400fc0a2bb41a9224d74572633703a9931dfcecc81dc4b55faa6866918e920ad","","matic","","2021-07-06T19:04:10.000Z","","2022-01-16T13:12:38.468Z"
"Withdrawal","0","","3325.380744445693","AM3CRV","0.000150133","MATIC","Matic Transaction","0x23480abc8cd282d86326bdd526febd72ac2578d5775cfc8f83bb715b87d50f62-transfer-234689837","","matic","","2021-07-06T19:04:18.000Z","","2022-01-16T13:12:38.896Z"
"Deposit","3325.380744445693","AM3CRV-GAUGE","0","","0","","Matic Transaction","0x23480abc8cd282d86326bdd526febd72ac2578d5775cfc8f83bb715b87d50f62-transfer-234689838","","matic","","2021-07-06T19:04:18.000Z","","2022-01-16T13:12:39.414Z"
"Income","9.32552341144124","WMATIC","0","USD","0.000178236","MATIC","aave","0xeccad41d8b58ff555d4a971f7b2b1918f51124148257261bc495fbd68bdd3e37-income-727601","","matic","","2021-07-06T19:05:38.000Z","","2022-01-16T13:12:43.244Z"
"Deposit","13.2856000746398","MATIC","0","","0.000062793","MATIC","Matic Transaction","0x65be2b9a890507439b6da4e1f806bc2d3a3667dde65a3d51d051fcff2e5ec4c9-matic-transfer-234696365","","matic","","2021-07-06T19:06:18.000Z","kr 130,19","2022-01-16T13:12:38.585Z"
"Trade","14.5","AMWMATIC","14.5","MATIC","0.000268344","MATIC","aave","0xc79ccbe2258d2ce7b4853b0967ca6ca2c60725d928c95da0ec80432c6828f773","","matic","","2021-07-06T19:08:18.000Z","kr 142,09","2022-01-16T13:12:40.956Z"
"Airdrop","3200","VALX","0","USD","0","","Matic Transaction","0x071d48ed22f52f967b2e5353bc1e9e7f206573cbe0386132f10bdeaba4f20ae3-transfer-235315830","","matic","","2021-07-06T22:38:26.000Z","","2022-05-14T13:27:41.656Z"
"Airdrop","200","FOX","172.5202293136178","USD","0.00204125","ETH","ETH Transaction","0xf5599af7c39eca4eae9676215ce0bd41d3d4e8d4ac8a249fdb66d5c0debbd56e-transfer-945758787","","ETH","","2021-07-15T11:43:04.000Z","kr 1 529,60","2022-05-14T13:27:41.656Z"
"Spend","0","USD","0","ETH","0.001155175","ETH","ETH Transaction","0xa493617c8291aa5c1d5990736197d844714f34c041d4f6bb0f24344b30cda9b3","","ETH","","2021-07-15T11:53:08.000Z","","2022-01-16T13:12:34.285Z"
"Trade","0.08282302629764617","ETH","200","FOX","0.001859277","ETH","zerox","0x924d00496cd42cc3e27828998bab8b04f44078c40eb6b29b90656bb14eb7bc28","","ETH","","2021-07-15T11:55:48.000Z","kr 1 466,93","2022-01-16T13:12:35.704Z"
"Spend","0","USD","0","MATIC","0.000092124","MATIC","Matic Transaction","0x37f356b80ca825dcbdcf419b0fac4ce806a53493bdb6110a34b2d710ab37a219","","matic","","2021-07-15T12:08:04.000Z","","2022-01-16T13:12:38.619Z"
"Withdrawal","0","","1.0190478914e-8","UNI-V2","0.000749471","MATIC","Matic Transaction","0x2a9003f706e7352861c823f53c056b5a61d41147c5c7390e0e5c69b396f2d814-transfer-262036958","","matic","","2021-07-15T13:01:28.000Z","","2022-01-16T13:12:39.150Z"
"Deposit","1.402164698464625","MATIC","0","","0","","Matic Transaction","0x2a9003f706e7352861c823f53c056b5a61d41147c5c7390e0e5c69b396f2d814-matic-transfer-262036963","","matic","","2021-07-15T13:01:28.000Z","kr 11,55","2022-01-16T13:12:38.717Z"
"Withdrawal","0","","1.4","MATIC","0.000241915","MATIC","Matic Transaction","0x197ae8e3b5999346c169cc5262ea13ac0a7e607c8808eaf78f8811f1aa95be39","","matic","","2021-07-15T13:10:50.000Z","","2022-01-16T13:12:38.832Z"
"Deposit","1.4","AMWMATIC","0","","0","","Matic Transaction","0x197ae8e3b5999346c169cc5262ea13ac0a7e607c8808eaf78f8811f1aa95be39-transfer-262062533","","matic","","2021-07-15T13:10:50.000Z","","2022-01-16T13:12:40.307Z"
"Deposit","1.594399986319499","CRV","0","","0.000173228","MATIC","Matic Transaction","0xab2738979a5e24b59debcaed0baa90b8307b0735989805fa66d531fd59d6899a-transfer-282315061","","matic","","2021-07-20T10:39:56.000Z","kr 19,21","2022-01-16T13:12:38.858Z"
"Deposit","4.577526904854239","WMATIC","0","","0","","Matic Transaction","0xab2738979a5e24b59debcaed0baa90b8307b0735989805fa66d531fd59d6899a-transfer-282315062","","matic","","2021-07-20T10:39:56.000Z","","2022-01-16T13:12:40.260Z"
"Income","8.135518450261102","WMATIC","0","USD","0.000160806","MATIC","aave","0x52f7bc81ee6cfb54d5bdcd9b9d1ca56ff5edaa451defceb995b92e96b4af6eb8-income-789836","","matic","","2021-07-20T10:39:58.000Z","","2022-01-16T13:12:43.206Z"
"Spend","0","USD","0","MATIC","0.000051784","MATIC","Matic Transaction","0xf3db781c7cd10930cc0f77d2b3478a9e822b74e19934c7a82f89003f6327cb11","","matic","","2021-07-20T10:42:50.000Z","","2022-01-16T13:12:39.001Z"
"Withdrawal","0","","1.888243452332662","CRV","0.000546987","MATIC","Matic Transaction","0x8d08d16d23837dea4b48909337b53a2f9a312b4a0a60606fd3e8983377b5729b-transfer-282325327","","matic","","2021-07-20T10:43:10.000Z","","2022-01-16T13:12:39.005Z"
"Deposit","3.672356073009801","WMATIC","0","","0","","Matic Transaction","0x8d08d16d23837dea4b48909337b53a2f9a312b4a0a60606fd3e8983377b5729b-transfer-282325330","","matic","","2021-07-20T10:43:10.000Z","","2022-01-16T13:12:40.936Z"
"Spend","0","USD","0","MATIC","0.000046085","MATIC","Matic Transaction","0x1994458263003407993c309bf1d9eb3dad5d68310726e102b20c11ce7c4c3da1","","matic","","2021-07-20T10:44:22.000Z","","2022-01-16T13:12:39.039Z"
"Deposit","0.01512691788457828","UNI-V2","0","","0.000261082","MATIC","Matic Transaction","0xe5fafc33747f1b58c901a2703349c1dda436de9bc57a886a4bf02d62f150e4bc-transfer-282329867","","matic","","2021-07-20T10:44:32.000Z","","2022-01-16T13:12:39.774Z"
"Withdrawal","0","","2","WMATIC","0","","Matic Transaction","0xe5fafc33747f1b58c901a2703349c1dda436de9bc57a886a4bf02d62f150e4bc-transfer-282329868","","matic","","2021-07-20T10:44:32.000Z","","2022-01-16T13:12:40.119Z"
"Spend","0","USD","0","MATIC","0.000046109","MATIC","Matic Transaction","0x5d4da5aa81dad07be4492cdd15a431311ec7776a4a632b5cd1eeb1b215f73fec","","matic","","2021-07-20T10:45:02.000Z","","2022-01-16T13:12:39.122Z"
